Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,list_facilities,lantai,area_digunakan,luas_tanah,latitude,longitude
650000000.0,Sidoarjo,2,1,1,"Garasi, Halaman, Listrik, Dapur terpadu, Air, Sebagian perabotan",1,39,105,-7.412324,112.5378369
585000000.0,Sukodono,2,1,1,"Garasi, AC, Pemandangan panorama, Air, Sebagian perabotan, Internet, Dapur terpadu, Halaman, Listrik",1,36,75,-7.3982913,112.6883969
390000000.0,Sedati,2,1,1,"Garasi, Halaman, Listrik, Fully fenced, Pemandangan panorama, Air, Tanpa perabotan",1,36,72,-7.40081,112.80328
600000000.0,Sukodono,2,1,0,"Garasi, Listrik, Halaman, Sebagian perabotan",1,45,75,-7.394061,112.6738809
455000000.0,Sukodono,2,1,1,Tidak Ada,1,66,78,-7.3884639,112.7037735
475000000.0,Candi,2,1,0,Tanpa perabotan,1,91,91,-7.4582129,112.6904798
355000000.0,Tulangan,2,1,1,Tidak Ada,1,90,90,-7.4494294,112.6391366
445000000.0,Gedangan,2,1,0,"Garasi, Air, Tanpa perabotan, Pemandangan panorama, Listrik, Teras",1,28,72,-7.3981827,112.70916636
900000000.0,Sukodono,3,2,2,"Garasi, AC, Dapur lengkap, Perapian, Tanpa perabotan, Internet, Balkon, Dapur terpadu, Listrik, Deck",2,60,72,-7.3801702,112.6900453
1500000000.0,Candi,4,3,3,"Garasi, AC, Kabel video, Tangki air, Tanpa perabotan, Deck, Internet, Balkon, Halaman, Air, Teras",2,126,131,-7.46987142,112.6988345
1600000000.0,Buduran,3,2,0,Tanpa perabotan,1,144,144,-7.436595,112.694927
585580000.0,Taman,1,1,0,"Garasi, Air, Teras, Pemandangan panorama, Listrik",1,36,72,-7.37362324,112.64100267
380000000.0,Krian,2,1,1,"Garasi, Kabel video, Internet, Listrik",1,72,72,-7.40299,112.5873906
340000000.0,Sukodono,2,1,1,"Garasi, Listrik, Teras, Internet, Tanpa perabotan, Wifi",2,120,90,-7.4191134,112.6764786
450000000.0,Sedati,2,1,0,"Garasi, Listrik, Air, Sebagian perabotan",1,99,99,-7.3952,112.7675
227000000.0,Tanggulangin,2,1,0,Tidak Ada,1,55,88,-7.50246405,112.70919353
1700000000.0,Buduran,4,3,3,"Garasi, Balkon, Tanpa perabotan, Internet, Listrik",3,1,122,-7.4251569,112.7230062
449000000.0,Sedati,2,1,1,"Garasi, Air, Tanpa perabotan, AC, Listrik",1,38,96,-7.40599519,112.77146269
650000000.0,Waru,2,1,1,"Halaman, Air, Tanpa perabotan, Tangki air, Listrik, Teras",1,38,72,-7.3517813,112.7846068
450000000.0,Sedati,2,1,0,"Air, Tanpa perabotan, Listrik",1,99,99,-7.4057354,112.7613933
849000000.0,Gedangan,2,1,0,Berperabot lengkap,1,69,90,-7.39615901,112.74628948
850000000.0,Waru,3,2,2,"Garasi, Dapur lengkap, Tangki air, Tanpa perabotan, Balkon, Halaman, Air, Teras",2,59,72,-7.35128,112.8135304
1110000000.0,Waru,2,1,1,"Garasi, Tanpa perabotan",1,55,119,-7.36133582,112.71242808
1970000000.0,Tanggulangin,3,2,2,"Garasi, Pemanasan, Tangki air, Listrik, AC, Halaman, Gas alam, Tanpa perabotan",1,180,295,-7.49958,112.69992
498000000.0,Taman,2,1,1,Tidak Ada,1,36,72,-7.35427935,112.67680116
499000000.0,Sedati,2,1,1,"Garasi, Halaman, Listrik, Fully fenced, Internet, Air, Tanpa perabotan, Wifi",1,40,72,-7.37121683,112.80501813
860000000.0,Waru,3,2,2,Tanpa perabotan,2,150,120,-7.3399267,112.7562893
4690000000.0,Sedati,5,4,4,"Pemandangan panorama, Berperabot lengkap",2,240,216,-7.36768,112.7751655
460000000.0,Sedati,2,1,1,"Balkon, Halaman, Dapur lengkap, Sebagian perabotan",2,48,48,-7.3717382,112.76373357
325000000.0,Krembung,2,1,0,"Garasi, Sebagian perabotan",1,36,50,-7.5268,112.6637
2700000000.0,Waru,4,2,2,"Internet, Tangki air, Listrik, Dapur lengkap, Air, Sebagian perabotan",1,120,180,-7.3525313,112.71572102
350000000.0,Tulangan,2,1,1,"Garasi, Tangki air, Air, Teras, Halaman, Ruang kantor, Tanpa perabotan, Wifi",1,60,90,-7.4785275,112.65230622
2160000000.0,Waru,4,2,2,"Air, Tanpa perabotan, Listrik",2,287,315,-7.3627361,112.7402295
800000000.0,Taman,3,2,2,"Internet, Tangki air, Sebagian perabotan, Dapur lengkap, Gas alam",3,190,84,-7.3570383,112.6934908
1880000000.0,Sedati,4,3,3,Tanpa perabotan,2,130,104,-7.36768,112.7751655
990000000.0,Waru,3,2,0,Tidak Ada,1,100,60,-7.3432711,112.7683327
1800000000.0,Waru,22,6,0,Tidak Ada,2,400,200,-7.3588392,112.7583752
425000000.0,Wonoayu,2,1,1,"Garasi, Air, Teras, Pemandangan panorama, Listrik",1,60,90,-7.4219617,112.6468617
2500000000.0,Waru,5,5,0,"Garasi, AC, Dapur lengkap, Dapur terpadu, Gas alam, Listrik, Teras, Wifi, Internet, Balkon, Pemanasan, Kabel video, Air, Sebagian perabotan, Deck",1,540,270,-7.3562163,112.7610386
970000000.0,Waru,3,2,0,"AC, Sebagian perabotan",2,100,60,-7.3517813,112.7846068
