Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,list_facilities,list_buildings,lantai,area_digunakan,luas_tanah,latitude,longitude,dist_SD,dist_SMP,dist_SMA_SMK,dist_Universitas,dist_Fasilitas_Kesehatan,dist_Mall,dist_Supermarket,dist_Minimarket,dist_Stasiun,dist_Terminal,dist_Bandara,dist_Halte,dist_Entry_Exit_Tol
453500000,Sukodono,2,1,1,"Garasi, Balkon, Ruang layanan, Alarm, Air, Tanpa perabotan, Wifi, AC, Kabel video, Tangki air, Lemari pakaian bawaan, Rubanah, Deck","Cctv, Area anak-anak, Rumah jaga, Gym, Angkat, Akses bagi penyandang disabilitas",1,40,50,-7.394061,112.6738809,0.841154992744694,2.8766357093749213,3.90864948765988,5.892745571598778,0.28135023959614064,8.302342462761755,3.9226349198224835,1.3540240655938636,6.782730801011997,8.261277349832222,11.88669519974322,6.612823097413383,19.898868344567852
700000000,Candi,2,1,1,"Garasi, AC, Halaman, Air, Wifi, Internet, Dapur lengkap, Tangki air, Listrik","Cctv, Keamanan 24 jam, Taman",1,50,50,-7.46736755,112.702364,1.7425592989850236,2.27640515664852,1.2997852956469353,2.3429848666780484,1.9202836284896596,2.9882088247422347,2.2244938499808904,1.4083635128359724,2.337679630892802,1.5719485552880643,14.864761307288925,2.9256006049126455,2.6619603936104443
1010000000,Candi,3,3,3,"Garasi, Balkon, Halaman, Air, Tanpa perabotan, Internet, Pemandangan panorama, Tangki air, Listrik, Wifi","Keamanan, Area anak-anak, Rumah jaga, Spa, Kolam renang, Taman, Keamanan 24 jam",2,55,50,-7.46736755,112.702364,1.7425592989850236,2.27640515664852,1.2997852956469353,2.3429848666780484,1.9202836284896596,2.9882088247422347,2.2244938499808904,1.4083635128359724,2.337679630892802,1.5719485552880643,14.864761307288925,2.9256006049126455,2.6619603936104443
350000000,Candi,2,1,0,Tanpa perabotan,Tidak Ada,1,55,50,-7.4980086,112.7133981,2.3183813870845467,4.899167046595405,4.37262173198629,2.2585600783587565,4.2593686896713265,6.255119286816089,6.090927141444461,3.8567731057784695,2.7213422159045373,4.382040734373484,18.13167176936278,2.6348295947023,14.868988025822851
765000000,Gedangan,2,1,1,"Listrik, Tanpa perabotan","Taman, Keamanan 24 jam",1,52,52,-7.3850773,112.7531193,3.756297836872,4.734462300631968,4.637760404257,7.095896479643405,3.531183998203501,4.783809201146815,4.751458154994046,2.3268911916550423,4.108734986950645,3.861258570533674,1.6428021535703006,4.2329899659117345,7.129469985952788
500000000,Sukodono,2,1,1,"Garasi, Air, Internet, Tanpa perabotan",Tidak Ada,1,52,52,-7.394061,112.6738809,0.841154992744694,2.8766357093749213,3.90864948765988,5.892745571598778,0.28135023959614064,8.302342462761755,3.9226349198224835,1.3540240655938636,6.782730801011997,8.261277349832222,11.88669519974322,6.612823097413383,19.898868344567852
599000000,Taman,4,2,0,"Listrik, Fully fenced",Taman,1,75,52,-7.3654212,112.7087058,0.7897919365874334,1.498958732571566,3.2750366339327885,4.218561115077437,1.0105222209791718,2.9840448281614087,2.5050872743368293,1.0859661044057771,3.9157146607225575,2.490565507703284,6.847871728010133,3.6137212497664035,23.082763364486198
674930000,Wonoayu,3,1,1,"Tanpa perabotan, Fully fenced","Area anak-anak, Keamanan 24 jam, Taman",1,54,54,-7.4390818,112.6571111,3.3243876525567937,3.116975083636697,2.686598084108563,6.7151978517315545,3.864271633016787,5.752044365791248,5.3036354834252615,3.9587155863730388,3.254392542803467,8.332826731086165,17.59348344801098,3.4069669645920175,26.92227124554421
2250000000,Buduran,5,4,0,Tanpa perabotan,Tidak Ada,2,54,54,-7.443083,112.7029373,1.1857070256225555,0.4021579183646985,0.7834004263724801,1.3311450920068886,0.9505367334347296,2.1471526452772247,0.9742082511083943,2.449890868290636,3.501375292173968,4.501648892518625,12.53815986197916,2.458508323027281,0.9374358928731202
1800000000,Sidoarjo,3,2,0,"Garasi, Gas alam, Listrik, Deck, Internet, Ruang kantor, Tanpa perabotan, Fully fenced","Keamanan, Rumah jaga, Area anak-anak, Keamanan 24 jam",1,90,54,-7.4217,112.5322,13.817733754985147,5.633311883721431,6.851203125442745,20.825657647822325,7.105650917280584,21.494939892249818,19.873578324884207,1.7874400151432508,3.8789929303946247,6.643186608307286,29.542404693429454,3.8741381917402107,34.85677348259587
750000000,Candi,2,1,0,Tanpa perabotan,Tidak Ada,1,150,54,-7.4727733,112.7236749,0.44125032564139155,0.5159008823593376,1.0495645276225576,1.806107758377671,0.27555237656859,3.518087084711191,2.552954170032884,0.25355243608584843,2.9153317309706597,1.8631681782997631,14.911493563085916,2.988173751179836,5.296416231005735
805000000,Waru,3,1,0,"Air, Wifi, Listrik","Cctv, Taman, Kolam renang, Rumah jaga",1,55,55,-7.355774,112.8064202,6.877035077875787,7.445024654649879,7.661481958490541,2.1496890268212794,4.579793849037002,12.210408931140758,6.333621454123665,4.542616015265765,10.731471627628856,7.016463588562037,0.43133201238260693,10.71261247704721,4.576289252130981
