Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,lantai,area_digunakan,luas_tanah,latitude,longitude,dist_SD,dist_SMP,dist_SMA_SMK,dist_Universitas,dist_Fasilitas_Kesehatan,dist_Mall,dist_Supermarket,dist_Minimarket,dist_Stasiun,dist_Terminal,dist_Bandara,dist_Halte,dist_Entry_Exit_Tol,road_score,has_exit_tol,AC,Air,Alarm,Balkon,Berperabot lengkap,Dapur lengkap,Dapur terpadu,Deck,Fully fenced,Garasi,Gas alam,Halaman,Halaman terbuka,Internet,Jacuzzi,Jaringan internet,Kabel video,Kitchen set,Lemari pakaian bawaan,Listrik,Pagar penuh,Pemanas ruangan,Pemanasan,Pemandangan panorama,Pendingin ruangan (AC),Perapian,Ruang kantor,Ruang layanan,Rubanah,Sebagian perabotan,Setengah terpisah,Sistem Alarm,TV kabel,Tangki air,Tanpa perabotan,Teras,Wifi,Akses bagi penyandang disabilitas,Angkat,Area anak-anak,BBQ Area,Cctv,Gym,Keamanan,Keamanan 24 jam,Kolam renang,Lapangan tenis,Panggang,Pramutamu,Pustaka,Rumah jaga,Sauna,Spa,Spa dan Sauna,Taman,Taman atap,Taman bermain anak,Tidak Ada
58.5,Taman,3,2,0,1,75,75,-7.3682573,112.7077638,0.582484256,1.790084699,3.515513248,4.187892237,0.69882283,2.782258278,2.474418396,0.664114484,3.885045783,2.811413221,6.646085178,3.958342768,22.77106397,4,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68.5,Balongbendo,2,1,1,1,42,84,-7.412324,112.5378369,14.10777388,4.521358592,5.739249833,19.67989096,5.993697625,20.98096278,19.67509937,0.176468657,4.24756786,5.531233316,28.39663801,4.535996651,33.7110068,5,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
73,Candi,3,2,2,2,50,84,-7.4987052,112.7140956,2.404776905,4.985562565,4.45901725,2.344955596,4.345764208,6.341514805,6.177322659,3.943168624,2.807737734,4.468436252,18.21806729,2.721225113,14.95538354,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
125,Sidoarjo,3,3,0,1,120,144,-7.4497718,112.7015495,1.418867546,1.347328217,1.619650847,1.161143531,1.125437344,1.711231791,0.80420669,2.877355001,2.962788217,3.976635156,13.48333016,2.288506762,0.501515038,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,Taman,3,1,0,2,190,209,-7.3716394,112.6462697,2.050965929,6.11624398,5.883178186,5.947158287,5.180708978,9.177540193,7.568230164,2.653197569,4.619728901,8.340683127,14.66390533,4.619728901,81.19501354,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Taman,2,1,1,1,50,91,-7.3683438,112.6824377,3.940385229,3.464266893,3.048151248,3.432360373,2.57485597,6.009855958,3.249748615,2.250998911,3.715313514,5.172998892,10.53363362,3.545405811,23.36911857,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97.5,Gedangan,2,1,1,1,105,98,-7.3896762,112.7279598,0.158767307,1.777257755,1.21182274,4.456698371,0.27487645,2.68881455,0.927586993,0.208774423,0.08462473,5.01120921,4.714349383,0.08462473,81.19501354,5,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,Candi,4,3,3,3,60,120,-7.4622498,112.6958457,3.261169406,3.210982783,2.260083247,3.340574432,1.375491319,4.033572984,1.717050309,0.900919972,3.531115127,3.090558662,15.96548343,3.885898556,15.93557965,3,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
51.5,Wonoayu,2,1,1,1,39,72,-7.43367054,112.5930468,8.317619147,3.67739481,2.243034814,14.36088611,2.132354994,13.39773263,11.77637106,3.249173695,3.33031371,2.903101581,24.91865193,3.150448534,31.42432946,3,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
24.5,Sukodono,2,1,1,1,36,73,-7.4060912,112.6822027,0.313682709,1.221105593,2.442983717,6.408946037,1.90395825,6.818456249,3.661114822,1.156763029,7.243043188,8.967545376,11.87276784,7.243043188,21.46425079,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
